asset_id,provider,author,source_url,license_url,downloaded_date,local_files,physical_scale,color_space,channels,modifications,used_by,verification_status,asset_origin,source_reference,evidence_level,license_note,limitations
SURFACE_EARTH_VEGETATION,Project-authored,Codex-assisted project implementation,,,,project/scripts/materials.py,Object-coordinate meters where assigned; see shader mapping constants,Procedural scene-linear parameters; no raster color profile,Base color;roughness;bump;subsurface/translucency,Authored mesh/material definitions; no external scan or downloaded texture,earth;moss;gravel;bark;leaf variants,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,INT_S09;INT_S10,C,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,Procedural values and individual plant appearance C
KITCHEN_RUBBER_TILES,Project-authored,Codex-assisted project implementation,,,,project/scripts/main_house.py,9×9 inch = 0.2286×0.2286 meter nominal documented tiles,Procedural scene-linear parameters; no raster color profile,Mesh and procedural base material,Authored mesh/material definitions; no external scan or downloaded texture,MAIN_L1_KITCHEN,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,INT_S05,B material/dimension; C appearance,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,Documented modern conservation rubber state; exact installed color/finish unmeasured
FURN_MAIN_FIXED_BENCHES,Project-authored,Codex-assisted project implementation,,,,project/scripts/furnishings.py;project/data/furnishing-evidence.json,Meters; furniture sizes inferred unless independently dimensioned,Procedural scene-linear parameters; no raster color profile,Mesh and procedural surfaces,Authored mesh/material definitions; no external scan or downloaded texture,MAIN_L1_LIVING,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,https://fallingwater.org/fallingwater-fireside/,B form; C inferred dimensions,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,Length and placement inferred from registered plan and visible photo; unseen supports C.
FURN_MAIN_HEARTH,Project-authored,Codex-assisted project implementation,,,,project/scripts/furnishings.py;project/data/furnishing-evidence.json,Meters; furniture sizes inferred unless independently dimensioned,Procedural scene-linear parameters; no raster color profile,Mesh and procedural surfaces,Authored mesh/material definitions; no external scan or downloaded texture,MAIN_L1_LIVING,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,research/interiors.md V01,B form; C inferred dimensions,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,"Rock profile is a controlled faceted approximation, not a scanned rock. Geometry worker owns fireplace chamber and chimney."
FURN_MAIN_DINING,Project-authored,Codex-assisted project implementation,,,,project/scripts/furnishings.py;project/data/furnishing-evidence.json,Meters; furniture sizes inferred unless independently dimensioned,Procedural scene-linear parameters; no raster color profile,Mesh and procedural surfaces,Authored mesh/material definitions; no external scan or downloaded texture,MAIN_L1_LIVING,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,HABS PA-5346 sheet 04,A/C form; C inferred dimensions,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,Exact table extension mechanism and chair model not verified; dimensions C.
FURN_STUDY,Project-authored,Codex-assisted project implementation,,,,project/scripts/furnishings.py;project/data/furnishing-evidence.json,Meters; furniture sizes inferred unless independently dimensioned,Procedural scene-linear parameters; no raster color profile,Mesh and procedural surfaces,Authored mesh/material definitions; no external scan or downloaded texture,MAIN_L3_STUDY;MAIN_L2_DRESSING,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,HABS PA-5346 sheet 11 and https://fallingwater.org/fallingwater-from-home/,A/B form; C inferred dimensions,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,The named people are not inferred from the generic HABS room labels. Chair silhouette supported by small official study image; exact chair identity remains unknown.
FURN_KITCHEN_STEEL_CASEWORK,Project-authored,Codex-assisted project implementation,,,,project/scripts/furnishings.py;project/data/furnishing-evidence.json,Meters; furniture sizes inferred unless independently dimensioned,Procedural scene-linear parameters; no raster color profile,Mesh and procedural surfaces,Authored mesh/material definitions; no external scan or downloaded texture,MAIN_L1_KITCHEN,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,HABS PA-5346-56 and https://fallingwater.org/grant-received-for-kitchen-preservation/,A/B form; C inferred dimensions,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,"Basin holes are real openings; module widths inferred from registered room/photo, exact model not claimed."
FURN_AGA,Project-authored,Codex-assisted project implementation,,,,project/scripts/furnishings.py;project/data/furnishing-evidence.json,Meters; furniture sizes inferred unless independently dimensioned,Procedural scene-linear parameters; no raster color profile,Mesh and procedural surfaces,Authored mesh/material definitions; no external scan or downloaded texture,MAIN_L1_KITCHEN,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,https://fallingwater.org/grant-received-for-kitchen-preservation/,B/C form; C inferred dimensions,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,"AGA presence verified; exact installed model, colors and controls remain C. No invented readable branding."
FURN_FRIGIDAIRE,Project-authored,Codex-assisted project implementation,,,,project/scripts/furnishings.py;project/data/furnishing-evidence.json,Meters; furniture sizes inferred unless independently dimensioned,Procedural scene-linear parameters; no raster color profile,Mesh and procedural surfaces,Authored mesh/material definitions; no external scan or downloaded texture,MAIN_L1_KITCHEN,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,https://fallingwater.org/grant-received-for-kitchen-preservation/,B/C form; C inferred dimensions,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,Frigidaire presence verified; exact production variant not established.
FURN_KITCHENAID,Project-authored,Codex-assisted project implementation,,,,project/scripts/furnishings.py;project/data/furnishing-evidence.json,Meters; furniture sizes inferred unless independently dimensioned,Procedural scene-linear parameters; no raster color profile,Mesh and procedural surfaces,Authored mesh/material definitions; no external scan or downloaded texture,MAIN_L1_KITCHEN,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,HABS PA-5346-56 and official kitchen preservation,A/B form; C inferred dimensions,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,Later appliance matches selected composite baseline; exact current controls not verified.
FURN_KITCHEN_TABLE,Project-authored,Codex-assisted project implementation,,,,project/scripts/furnishings.py;project/data/furnishing-evidence.json,Meters; furniture sizes inferred unless independently dimensioned,Procedural scene-linear parameters; no raster color profile,Mesh and procedural surfaces,Authored mesh/material definitions; no external scan or downloaded texture,MAIN_L1_KITCHEN,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,https://fallingwater.org/grant-received-for-kitchen-preservation/,B form; C inferred dimensions,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,"Historical attribution and count verified, measured details C."
FURN_GUEST_LOUNGE,Project-authored,Codex-assisted project implementation,,,,project/scripts/furnishings.py;project/data/furnishing-evidence.json,Meters; furniture sizes inferred unless independently dimensioned,Procedural scene-linear parameters; no raster color profile,Mesh and procedural surfaces,Authored mesh/material definitions; no external scan or downloaded texture,GUEST_L1_LOUNGE,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,HABS PA-5346-A-11 / pa2187.photos.134234p,A form; C inferred dimensions,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,"1985 black-and-white image gives form/relationship, not color. Current placement uses guest architecture suggestions."
FURN_GUEST_BEDROOM,Project-authored,Codex-assisted project implementation,,,,project/scripts/furnishings.py;project/data/furnishing-evidence.json,Meters; furniture sizes inferred unless independently dimensioned,Procedural scene-linear parameters; no raster color profile,Mesh and procedural surfaces,Authored mesh/material definitions; no external scan or downloaded texture,GUEST_L1_GUEST_ROOM,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,https://fallingwater.org/fw_acl_bedrooms_5/ and HABS PA-5346-A-15–20 captions,A/B form; C inferred dimensions,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,Vertical lamp shape and woven gliding chair are photograph/caption-informed approximations; rear geometry C.
FURN_MAIN_BEDROOMS,Project-authored,Codex-assisted project implementation,,,,project/scripts/furnishings.py;project/data/furnishing-evidence.json,Meters; furniture sizes inferred unless independently dimensioned,Procedural scene-linear parameters; no raster color profile,Mesh and procedural surfaces,Authored mesh/material definitions; no external scan or downloaded texture,MAIN_L2_MASTER;MAIN_L2_GUEST;MAIN_L3_ALCOVE,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,HABS PA-5346 sheets 05–06,A/C form; C inferred dimensions,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,Architecture preserves alcove opening. Furniture exact shapes and household identity not assigned without support.
FURN_SERVICE_BEDROOMS,Project-authored,Codex-assisted project implementation,,,,project/scripts/furnishings.py;project/data/furnishing-evidence.json,Meters; furniture sizes inferred unless independently dimensioned,Procedural scene-linear parameters; no raster color profile,Mesh and procedural surfaces,Authored mesh/material definitions; no external scan or downloaded texture,GUEST_L2_*,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,HABS PA-5346-A sheet 02,A/C form; C inferred dimensions,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,"Room uses and three-room census verified; furniture is explicitly inferred service furnishing, not photographic replication."
FURN_SANITARY,Project-authored,Codex-assisted project implementation,,,,project/scripts/furnishings.py;project/data/furnishing-evidence.json,Meters; furniture sizes inferred unless independently dimensioned,Procedural scene-linear parameters; no raster color profile,Mesh and procedural surfaces,Authored mesh/material definitions; no external scan or downloaded texture,all surveyed Bath records,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,HABS main/guest plans; research/interiors.md S01,A/C form; C inferred dimensions,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,Small baths are laid out longitudinally to retain circulation. Exact current fixture make/model and each bath's full/half status require visual confirmation.
FURN_WINE_CELLAR,Project-authored,Codex-assisted project implementation,,,,project/scripts/furnishings.py;project/data/furnishing-evidence.json,Meters; furniture sizes inferred unless independently dimensioned,Procedural scene-linear parameters; no raster color profile,Mesh and procedural surfaces,Authored mesh/material definitions; no external scan or downloaded texture,MAIN_B_WINE,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,HABS PA-5346 sheet 03,A/C form; C inferred dimensions,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,Room function verified; rack configuration and contents C.
FURN_BOILER_ROOMS,Project-authored,Codex-assisted project implementation,,,,project/scripts/furnishings.py;project/data/furnishing-evidence.json,Meters; furniture sizes inferred unless independently dimensioned,Procedural scene-linear parameters; no raster color profile,Mesh and procedural surfaces,Authored mesh/material definitions; no external scan or downloaded texture,MAIN_B_BOILER;GUEST_L1_BOILER,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,HABS PA-5346 sheet 03 and PA-5346-A sheet 01,A/C form; C inferred dimensions,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,Equipment is readable inferred service infrastructure; no engineering accuracy or exact installed make asserted.
FURN_LAUNDRY,Project-authored,Codex-assisted project implementation,,,,project/scripts/furnishings.py;project/data/furnishing-evidence.json,Meters; furniture sizes inferred unless independently dimensioned,Procedural scene-linear parameters; no raster color profile,Mesh and procedural surfaces,Authored mesh/material definitions; no external scan or downloaded texture,GUEST_B1_LAUNDRY,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,HABS PA-5346-A sheet 01,A/C form; C inferred dimensions,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,Actual appliance models/current arrangement unknown and recorded as C.
FURN_THEATER,Project-authored,Codex-assisted project implementation,,,,project/scripts/furnishings.py;project/data/furnishing-evidence.json,Meters; furniture sizes inferred unless independently dimensioned,Procedural scene-linear parameters; no raster color profile,Mesh and procedural surfaces,Authored mesh/material definitions; no external scan or downloaded texture,GUEST_L1_THEATER,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,HABS PA-5346-A sheet 01,A/C form; C inferred dimensions,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,2010 THEATER use is verified; exact seats and equipment are unverified and replaceable.
ARTWORK_CONTROLLED_SUBSTITUTES,Project-authored,Codex-assisted project implementation,,,,project/scripts/furnishings.py,Meters; frame sizes inferred,Procedural scene-linear parameters; no raster color profile,Authored mesh/color fields,Authored mesh/material definitions; no external scan or downloaded texture,40_FURNITURE,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,Controlled original substitutes; no downloaded artwork image,C,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,Does not reproduce or identify collection artwork; exact original artworks not verified
DAYLIGHT_AND_EVENING_LIGHTS,Project-authored,Codex-assisted project implementation,,,,project/scripts/build_scene.py;project/scripts/lighting.py,Blender physically based light controls; illumination not site-measured,Procedural scene-linear parameters; no raster color profile,Procedural sky; Sun and area lights,"Authored multiple-scattering procedural sky, matched Sun, visible modeled lamp diffuser emission; no HDRI, downloaded texture or invisible room fill",70_LIGHTS,authored; implementation present; integrated visual acceptance pending,authored_procedural_not_scan,Reference-image-informed artistic lighting; no HDRI download,C,No external asset license asserted. Original project implementation; rights in referenced architecture/designs/artworks remain distinct.,Daylight hero and living-A exposure tested at preview resolution; other room/view exposures and evening preset require their own visual verification
PH_WALNUT_VENEER,Poly Haven,Jenelle van Heerden,https://polyhaven.com/a/walnut_veneer,https://polyhaven.com/license,2026-09-20,project\assets\textures\walnut_veneer_diff_2k.jpg;project\assets\textures\walnut_veneer_rough_2k.jpg;project\assets\textures\walnut_veneer_disp_2k.jpg,1.8 m,Diffuse sRGB; Rough/Displacement Non-Color,2K JPG Diffuse/Rough/Displacement,Shader tint/roughness remap and object-space box projection; height used as bump; original downloaded pixels unchanged,FW_wood,downloaded_verified MD5+byte size; SHA256 recorded; diffuse images viewed; combined render pending,CC0 photographed material on authored geometry,Official asset page and files API,"C appearance substitute, not Fallingwater-specific sample",CC0 asset; website text/example images are not used as textures,Not a scan or measurement of Fallingwater. Projection/tint/bump still requires close render review.
UNUSED_XANDERKLINGE,Poly Haven research candidate,Andreas Mischok,https://polyhaven.com/a/xanderklinge,https://polyhaven.com/license,,,,,,,,not_downloaded; not_used,unused_external_candidate,research/asset-candidates.md,,Prior research recorded CC0 for downloadable assets; no asset downloaded or embedded,Candidate only; this row does not establish acquisition
UNUSED_LYTHWOOD_FIELD,Poly Haven research candidate,Greg Zaal,https://polyhaven.com/a/lythwood_field,https://polyhaven.com/license,,,,,,,,not_downloaded; not_used,unused_external_candidate,research/asset-candidates.md,,Prior research recorded CC0 for downloadable assets; no asset downloaded or embedded,Candidate only; this row does not establish acquisition
PH_FORREST_GROUND_01,Poly Haven,Rob Tuytel,https://polyhaven.com/a/forrest_ground_01,https://polyhaven.com/license,2026-09-20,project\assets\textures\forrest_ground_01_diff_2k.jpg;project\assets\textures\forrest_ground_01_rough_2k.jpg;project\assets\textures\forrest_ground_01_disp_2k.jpg,2 m,Diffuse sRGB; Rough/Displacement Non-Color,2K JPG Diffuse/Rough/Displacement,Shader tint/roughness remap and object-space box projection; height used as bump; original downloaded pixels unchanged,FW_Continuous_Forest_Floor,downloaded_verified MD5+byte size; SHA256 recorded; diffuse images viewed; combined render pending,CC0 photographed material on authored geometry,Official asset page and files API,"C appearance substitute, not Fallingwater-specific sample",CC0 asset; website text/example images are not used as textures,Not a scan or measurement of Fallingwater. Projection/tint/bump still requires close render review.
PH_WORN_ROCK_NATURAL_01,Poly Haven,Dimitrios Savva (photography); Rob Tuytel (processing),https://polyhaven.com/a/worn_rock_natural_01,https://polyhaven.com/license,2026-09-20,project\assets\textures\worn_rock_natural_01_diff_2k.jpg;project\assets\textures\worn_rock_natural_01_rough_2k.jpg;project\assets\textures\worn_rock_natural_01_disp_2k.jpg,2 m,Diffuse sRGB; Rough/Displacement Non-Color,2K JPG Diffuse/Rough/Displacement,Shader tint/roughness remap and object-space box projection; height used as bump; original downloaded pixels unchanged,FW_stone;FW_rock;FW_wet_rock,downloaded_verified MD5+byte size; SHA256 recorded; diffuse images viewed; combined render pending,CC0 photographed material on authored geometry,Official asset page and files API,"C appearance substitute, not Fallingwater-specific sample",CC0 asset; website text/example images are not used as textures,Not a scan or measurement of Fallingwater. Projection/tint/bump still requires close render review.
PH_SLATE_FLOOR_02,Poly Haven,Dimitrios Savva,https://polyhaven.com/a/slate_floor_02,https://polyhaven.com/license,2026-09-20,project/assets/textures/slate_floor_02_diff_2k.jpg;project/assets/textures/slate_floor_02_rough_2k.jpg;project/assets/textures/slate_floor_02_disp_2k.jpg,2 m,Diffuse sRGB; roughness and displacement Non-Color,Diffuse;Rough;Displacement,"Shader desaturation to 0.12, cool neutral tint, reduced 6 mm bump",FW_stone_floor,downloaded_verified; diffuse_viewed; build_assignment_pending_new_scene,downloaded_CC0_texture,Official Poly Haven asset page and files API,C general surface substitute,CC0; source author retained; original texture pixels unedited,Generic photographed surface; not measured Fallingwater stone or joint arrangement
PH_MONASTERY_STONE_FLOOR,Poly Haven,Amal Kumar,https://polyhaven.com/a/monastery_stone_floor,https://polyhaven.com/license,2026-09-20,project/assets/textures/monastery_stone_floor_diff_2k.jpg;project/assets/textures/monastery_stone_floor_rough_2k.jpg;project/assets/textures/monastery_stone_floor_disp_2k.jpg,1.8 m,Diffuse sRGB; roughness and displacement Non-Color,Diffuse;Rough;Displacement,No changes; rejected candidate with weathered open joints,not_used,downloaded_verified; diffuse_viewed; not_used,downloaded_CC0_texture,Official Poly Haven asset page and files API,C general surface substitute,CC0; source author retained; original texture pixels unedited,Generic photographed surface; not measured Fallingwater stone or joint arrangement
LIVING_CEILING_LIGHT_SCREEN,Project-authored,Codex-assisted project implementation,,,,project/scripts/architectural_detail.py;project/data/architectural-detail.json,Meters; 5.4 x 5.8 m frame estimated C; 2.475–2.603 m actual mesh Z,Scene-linear procedural colors,Mesh and emitted light,Shallow finish recess; load-bearing upper floor retained,MAIN_L1_LIVING,2 actual local renders viewed; 195 clearance and 12 ceiling continuity probes pass; final lighting pending,authored_procedural_not_scan,GEO07_MAIN_LIVING_48;CONTEMPORARY_CEILING_ERITAK_2011,C dimensions/output; documented photographic form,Authored geometry; photograph rights retained separately,No measured frame layout or fixture photometry
PRESERVED_NEAR_TREE_LIBRARY,Project-authored,Codex-assisted project implementation,,,,project/assets/models/site_near_trees.blend,"Meters; modeled trees, not survey scans",Scene-linear procedural materials,Linked mesh prototypes appended locally,Preserved prior near-tree forms; one tree moved clear of actual terrace,50_VEGETATION; site.py build input,Geometry retained and terrain contact checked; next integrated render pending,authored_procedural_not_scan,project/qa/site_revision4_preserved.json,C,Project-authored geometry,Not botanically measured individual trees
